gov_id,gov_name,gov_type,country,state,place_geoid,county_fips,sgc_code,nces_lea_id,cog_id,aliases,source,evidence
us:place:1608830,Boise,municipality,us,ID,1608830,,,,,Boise|City of Boise|Boise City,curated_alias,"Census official name is 'Boise City city' (grep us_places.csv 2026-09-02) -- Boise's legal name is City of Boise City. No page writes it that way, and the miss sent 'City of Boise, ID' to Boise County and a bare 'Boise, ID' there too. gov_name is set to the name the city and every page actually use, so the hub reads 'Boise, ID' and keeps its existing /j/boise-id URL rather than becoming /j/boise-city-id over a Census spelling quirk."
us:place:2148006,Louisville/Jefferson County metro government (balance),municipality,us,KY,2148006,,,,,Louisville|City of Louisville|Louisville Metro|Louisville/Jefferson County,curated_alias,"Consolidated city-county. Census keys it as a place with the '(balance)' suffix; the separate 'Louisville city' row (2148000) is FUNCSTAT N, the defunct pre-merger government, and is deliberately excluded from us_places.csv."
us:place:4752006,Nashville-Davidson metropolitan government (balance),municipality,us,TN,4752006,,,,,Nashville|City of Nashville|Nashville-Davidson|Metropolitan Government of Nashville and Davidson County,curated_alias,"Consolidated city-county. Both real archived tenants ('Nashville' and 'Nashville-Davidson County, TN') must land here; before this they minted two different rtr: ids for one government."
us:place:5303736,Bainbridge Island city,municipality,us,WA,5303736,,,,,Bainbridge,curated_alias,"One real archived page stores 'Bainbridge, WA' while three store 'Bainbridge Island, WA' -- same government, and the short form matches no table key."
us:place:1150000,Washington city,municipality,us,DC,1150000,,,,,Washington|District of Columbia|Washington DC,curated_alias,"Census codes DC FUNCSTAT 'N' as a *place* because its government is state-level; build_gov_registry_data.py keeps this one row by GEOID for that reason. 14 real archived pages resolve here."
us:county:15003,City and County of Honolulu,county,us,HI,,15003,,,,Honolulu|City of Honolulu|County of Honolulu|City and County of Honolulu,curated_consolidated,"Hawaii's only consolidated city-county, and the only government Honolulu has -- there is no separate municipal corporation, so the county FIPS is the identity. Census names the row 'Honolulu County', which is not what the government calls itself or what its own Granicus pages write ('City of Honolulu' / 'County of Honolulu.', both on honolulu.granicus.com, both for clip 2444)."
us:place:0665042,Ventura,municipality,us,CA,0665042,,,,,Ventura|City of Ventura|San Buenaventura|San Buenaventura (Ventura),curated_alias,"Census official name is 'San Buenaventura (Ventura) city' (grep us_places.csv 2026-09-03), which nobody writes. The miss cost three different answers for one government: the real cityofventura.granicus.com page, stored as a bare 'Ventura, CA', resolved to Ventura COUNTY (a city merged into its county's hub, the Phase 1b bug class); 'City of Ventura, CA' minted rtr:us:ca:ventura; and a stateless 'City of Ventura' on youtube.com reached Ventura city, IOWA -- the only 'Ventura' the place table keys."
rtr:us:id:ada-county-highway-district,Ada County Highway District,special_district,us,ID,,,,,,,curated+ryan_stated,"Ada County Highway District, ID -- minted: minted from 'Ada County Highway District, ID'"
rtr:us:tn:memphis-light-gas-water-division,"Memphis Light, Gas & Water Division",special_district,us,TN,,,,,,,curated+ryan_stated,"Memphis Light, Gas & Water Division, TN -- minted: minted from 'Memphis, TN'"
rtr:us:fl:south-florida-water-management,South Florida Water Management District,special_district,us,FL,,,,,,,curated+ryan_stated,"South Florida Water Management, FL -- minted: minted from 'South Florida Water Management, FL'"
rtr:us:ca:alameda-county-transit,Alameda County Transit,special_district,us,CA,,,,,,,curated+ryan_stated,"Alameda County Transit, CA -- minted: minted from 'Alameda County Transit, CA'"
rtr:us:az:arizona-supreme-court,Arizona Supreme Court,court,us,AZ,,,,,,,curated+ryan_stated,"Arizona Supreme Court, AZ -- minted: minted from 'Arizona Supreme Court, AZ'"
rtr:us:ca:central-valley-flood-protection-board,Central Valley Flood Protection Board,other,us,CA,,,,,,,curated+ryan_stated,"Central Valley Flood Protection Board, CA -- minted: minted from 'Central Valley Flood Protection Board, CA'"
rtr:us:tx:dallas-county-community-college-district,Dallas County Community College District,school_district,us,TX,,,,,,,curated+ryan_stated,"Dallas County Community College District, TX -- minted: minted from 'Dallas County Community College District, TX'"
rtr:us:tx:harris-health-system,Harris Health System,other,us,TX,,,,,,,curated+ryan_stated,"Harris Health System, TX -- minted: minted from 'Harris Health System, TX'"
rtr:us:tx:dallas-area-rapid-transit-dart,Dallas Area Rapid Transit (DART),special_district,us,TX,,,,,,,curated+ryan_stated,"Dallas Area Rapid Transit (DART), TX -- minted: minted from 'Dallas, TX'"
rtr:us:il:cook-county-forest-preserve-district,Cook County Forest Preserve District,special_district,us,IL,,,,,,,curated+ryan_stated,"Cook County Forest Preserve District, IL -- minted: minted from 'Cook County Forest Preserve District, IL'"
rtr:us:dc:dc-water-sewer-authority,DC Water & Sewer Authority,special_district,us,DC,,,,,,,curated+ryan_stated,"DC Water & Sewer Authority, DC -- minted: minted from 'DC Water & Sewer Authority, DC'"
